Name,Nation,Position,Alter,POW,CON,SPD,DEF,ARM,LEAD,OverallRating,Marktwert (€),Potenzialwert,TotalScore
Marco Johnson,Kuba,Backup Infield (Utility),32,52,76,61,57,41,87,62.33,6.233.000 €,,
Marco Meier,Venezuela,Pitcher (Reliever),27,78,54,73,59,50,62,62.67,6.267.000 €,,
Marco Garcia,Japan,Pitcher (Reliever),21,74,84,46,85,79,42,68.33,6.833.000 €,,
Mateo Johnson,Deutschland,Pitcher (Reliever),34,53,42,60,41,68,40,50.67,5.067.000 €,,
Liam Silva,USA,Right Fielder,35,70,78,44,79,56,88,69.17,6.917.000 €,,
Santiago Schneider,Venezuela,Pitcher (Reliever),24,52,65,61,56,73,79,64.33,6.433.000 €,,
Liam Garcia,Kanada,Backup Outfield (Utility),29,80,64,84,82,58,85,75.5,7.550.000 €,,
Carlos Johnson,Kuba,Pitcher (Reliever),28,65,57,47,88,59,44,60.0,6.000.000 €,,
Noah Meier,Südkorea,Pitcher (Reliever),20,69,89,75,42,51,73,66.5,6.650.000 €,,
Santiago Silva,Mexiko,Backup Infield (Utility),23,46,82,81,41,65,45,60.0,6.000.000 €,,
Rafael Schneider,Mexiko,Pinch Runner,27,46,87,41,57,52,70,58.83,5.883.000 €,,
Mateo Nakamura,Südkorea,Backup Infield (Utility),18,49,55,60,66,72,59,60.17,6.017.000 €,,
Marco Schneider,Japan,Backup Infield (Utility),26,90,69,75,54,81,58,71.17,7.117.000 €,,
Kai Silva,USA,First Baseman,23,84,53,82,47,63,83,68.67,6.867.000 €,,
Rafael Weiss,Südkorea,Pitcher (Reliever),20,46,57,51,83,56,77,61.67,6.167.000 €,,
Carlos Smith,Venezuela,Pinch Hitter,18,73,90,85,77,72,73,78.33,7.833.000 €,,
Kai Johnson,Südkorea,Left Fielder,25,49,48,83,47,70,49,57.67,5.767.000 €,,
Noah Silva,Japan,Catcher,34,73,84,51,76,63,62,68.17,6.817.000 €,,
Carlos Nakamura,Kuba,Shortstop,34,86,49,48,59,84,55,63.5,6.350.000 €,,
Noah Lee,Mexiko,Backup Outfield (Utility),28,49,70,66,59,45,58,57.83,5.783.000 €,,
Rafael Silva,Kanada,Third Baseman,27,61,55,81,77,63,58,65.83,6.583.000 €,,
Mateo Silva,USA,Pitcher (Reliever),22,88,65,44,57,61,63,63.0,6.300.000 €,,
Liam Nakamura,Venezuela,Second Baseman,29,52,55,77,82,88,42,66.0,6.600.000 €,,
Marco Ortiz,Japan,Right Fielder,25,44,48,44,58,57,54,50.83,5.083.000 €,,
Santiago Ortiz,Dominikanische Republik,Pitcher (Reliever),35,74,86,41,75,47,74,66.17,6.617.000 €,,
Yuki Meier,Dominikanische Republik,Designated Hitter,30,60,82,56,71,52,61,63.67,6.367.000 €,,
Miguel Nakamura,Japan,Backup Infield (Utility),31,51,47,85,72,54,49,59.67,5.967.000 €,,
Marco Smith,Mexiko,Backup Catcher,26,72,80,80,82,74,86,79.0,7.900.000 €,,
Mateo Meier,Südkorea,Pitcher (Reliever),26,85,43,76,72,61,82,69.83,6.983.000 €,,
Santiago Nakamura,Japan,Second Baseman,22,60,86,84,46,63,69,68.0,6.800.000 €,,
Marco Schneider,Südkorea,Shortstop,26,43,83,59,54,42,40,53.5,5.350.000 €,,
Kai Smith,Kuba,Shortstop,21,79,52,58,71,88,74,70.33,7.033.000 €,,
